slice_kind,slice,method,n_obs,mean_emd,median_emd,n_mol
rank,1,asun,0,,,
rank,1,pca_centered,0,,,
rank,1,pca_svd,0,,,
rank,1,pca_noop,0,,,
rank,1,ours,0,,,
rank,2,asun,0,,,
rank,2,pca_centered,0,,,
rank,2,pca_svd,0,,,
rank,2,pca_noop,0,,,
rank,2,ours,0,,,
rank,3,asun,500000,0.03891490065873701,8.847955937937797e-09,
rank,3,pca_centered,500000,0.8897488676619644,1.003654111780318,
rank,3,pca_svd,500000,2.3536019494053906,1.7256219158561823,
rank,3,pca_noop,500000,2.7332294538758934,2.4382599414013546,
rank,3,ours,500000,8.755574119247744e-09,8.547039236338967e-09,
pointgroup,C1,asun,427400,0.01825809665177864,8.761050428193908e-09,4274
pointgroup,C1,pca_centered,427400,0.9164487500187259,1.0200540385219263,4274
pointgroup,C1,pca_svd,427400,2.3540870126609743,1.740373177040913,4274
pointgroup,C1,pca_noop,427400,2.7070789074769768,2.424450976150789,4274
pointgroup,C1,ours,427400,8.757770878004182e-09,8.565377487927303e-09,4274
pointgroup,Cs,asun,68200,0.16248384060394871,9.525830690675371e-09,682
pointgroup,Cs,pca_centered,68200,0.7415033251903753,0.8639553266786733,682
pointgroup,Cs,pca_svd,68200,2.33892796870831,1.6359224959241079,682
pointgroup,Cs,pca_noop,68200,2.8754252004117236,2.5199495082405496,682
pointgroup,Cs,ours,68200,8.725986755344869e-09,8.456599559457852e-09,682
pointgroup,C2,asun,1800,0.16702298835122892,0.00010399315577601083,18
pointgroup,C2,pca_centered,1800,0.6657871514734933,0.8316522127968259,18
pointgroup,C2,pca_svd,1800,2.510004753318896,1.6370714466023375,18
pointgroup,C2,pca_noop,1800,2.919257520768234,2.581553850448678,18
pointgroup,C2,ours,1800,8.78275860455174e-09,8.479291107190388e-09,18
pointgroup,C2v,asun,1600,0.04182528062057523,4.978944046659375e-05,16
pointgroup,C2v,pca_centered,1600,0.578483706959553,0.006729321808381006,16
pointgroup,C2v,pca_svd,1600,2.6471753055495926,1.5414917890434099,16
pointgroup,C2v,pca_noop,1600,3.2906008049339697,3.1485102511617704,16
pointgroup,C2v,ours,1600,8.883643770399958e-09,8.43872996561848e-09,16
pointgroup,C2h,asun,300,0.2205112457538785,0.000171487473404594,3
pointgroup,C2h,pca_centered,300,0.3249850797099786,0.00024215602177722379,3
pointgroup,C2h,pca_svd,300,2.3596523934896982,1.6723653822054667,3
pointgroup,C2h,pca_noop,300,2.8992199470186355,2.1424372667988925,3
pointgroup,C2h,ours,300,9.17602356972275e-09,8.771194292947536e-09,3
pointgroup,D3h,asun,200,0.12056491668082135,0.0002872630642617981,2
pointgroup,D3h,pca_centered,200,0.4249752811978435,0.6071522298238534,2
pointgroup,D3h,pca_svd,200,1.8459687261496294,1.4386114637166831,2
pointgroup,D3h,pca_noop,200,2.163166888394768,2.1076845787345,2
pointgroup,D3h,ours,200,8.437894805963647e-09,8.40723406896646e-09,2
pointgroup,Ci,asun,200,0.5732009507693461,0.3487821610566272,2
pointgroup,Ci,pca_centered,200,0.7330323378504111,1.0062148935138695,2
pointgroup,Ci,pca_svd,200,2.6017148584058174,2.3648901516012666,2
pointgroup,Ci,pca_noop,200,2.9523457402659425,2.745601610874343,2
pointgroup,Ci,ours,200,9.293961837277961e-09,9.520481968709845e-09,2
pointgroup,Cinfv,asun,100,9.334014019898376e-09,9.250135753298606e-09,1
pointgroup,Cinfv,pca_centered,100,0.7230615020988722,0.7985760523453503,1
pointgroup,Cinfv,pca_svd,100,1.9605648735791932,1.292733847021613,1
pointgroup,Cinfv,pca_noop,100,3.4982424781815875,3.7206059057340015,1
pointgroup,Cinfv,ours,100,1.4957596866435204e-08,1.4668739823788663e-08,1
pointgroup,Dinfh,asun,100,0.0007351430147823911,0.0008456377611672066,1
pointgroup,Dinfh,pca_centered,100,0.00017926702680134577,0.0003036637335608215,1
pointgroup,Dinfh,pca_svd,100,2.2316108381857873,3.0505501205257453,1
pointgroup,Dinfh,pca_noop,100,3.1987511460830937,3.556216822957974,1
pointgroup,Dinfh,ours,100,1.0175858236897173e-08,8.767669612889267e-09,1
pointgroup,C3v,asun,100,7.328013599758659e-09,7.234296717649669e-09,1
pointgroup,C3v,pca_centered,100,0.8829936657243854,1.23294205236629,1
pointgroup,C3v,pca_svd,100,3.79158974500358,5.605017866421969,1
pointgroup,C3v,pca_noop,100,4.230105166656752,4.367873796279141,1
pointgroup,C3v,ours,100,7.681702196337128e-09,7.4154796090250595e-09,1
