slice_kind,slice,method,n_obs,mean_emd,median_emd,n_mol
rank,1,asun,0,,,
rank,1,pca_centered,0,,,
rank,1,pca_svd,0,,,
rank,1,pca_noop,0,,,
rank,1,ours,0,,,
rank,2,asun,0,,,
rank,2,pca_centered,0,,,
rank,2,pca_svd,0,,,
rank,2,pca_noop,0,,,
rank,2,ours,0,,,
rank,3,asun,500000,0.04023569177948181,8.880657987606467e-09,
rank,3,pca_centered,500000,0.8876670775210272,1.0008273758189452,
rank,3,pca_svd,500000,2.3448413308378244,1.7190371951362369,
rank,3,pca_noop,500000,2.7281492313684446,2.4405576712052484,
rank,3,ours,500000,8.786086105292485e-09,8.579725218050121e-09,
pointgroup,C1,asun,421300,0.019339757304293888,8.78059343976959e-09,4213
pointgroup,C1,pca_centered,421300,0.9158879402841479,1.0187840812768214,4213
pointgroup,C1,pca_svd,421300,2.3659009486009674,1.740630053722366,4213
pointgroup,C1,pca_noop,421300,2.7227706460920107,2.438968506573886,4213
pointgroup,C1,ours,421300,8.781541640892213e-09,8.587576424060551e-09,4213
pointgroup,Cs,asun,74200,0.15294006752848957,9.396701119569998e-09,742
pointgroup,Cs,pca_centered,74200,0.7450025380962905,0.8932548140162173,742
pointgroup,Cs,pca_svd,74200,2.217334501209161,1.6017675858539142,742
pointgroup,Cs,pca_noop,74200,2.7444087828564045,2.442015154719957,742
pointgroup,Cs,ours,74200,8.840041112288823e-09,8.599812040222068e-09,742
pointgroup,C2,asun,2500,0.12065893302979164,1.642531637138497e-08,25
pointgroup,C2,pca_centered,2500,0.6756658507360206,0.7620031066701576,25
pointgroup,C2,pca_svd,2500,2.5307339072524146,1.6710517925599786,25
pointgroup,C2,pca_noop,2500,3.0067180733782517,2.6869484998825373,25
pointgroup,C2,ours,2500,7.604684975455215e-09,7.450580596923828e-09,25
pointgroup,C2v,asun,1400,0.04359591563005443,8.692180115291382e-05,14
pointgroup,C2v,pca_centered,1400,0.510402136500811,0.11910211523909726,14
pointgroup,C2v,pca_svd,1400,2.3645636233654757,1.735344012053333,14
pointgroup,C2v,pca_noop,1400,2.835511765854337,2.4813452417982327,14
pointgroup,C2v,ours,1400,8.893892410126731e-09,8.571880292615847e-09,14
pointgroup,C2h,asun,300,0.5342776441015618,0.001790112871900799,3
pointgroup,C2h,pca_centered,300,0.3679791449344577,0.0017717055861994,3
pointgroup,C2h,pca_svd,300,1.8473545451194613,1.656856528671687,3
pointgroup,C2h,pca_noop,300,2.307218524484916,2.1404337389593415,3
pointgroup,C2h,ours,300,8.13872512072363e-09,7.67655734635823e-09,3
pointgroup,Dinfh,asun,100,0.24077815895303462,0.4299609886166183,1
pointgroup,Dinfh,pca_centered,100,0.21505297940800333,0.1556912076644915,1
pointgroup,Dinfh,pca_svd,100,3.414647323934147,5.420011334037479,1
pointgroup,Dinfh,pca_noop,100,4.802656709245684,5.452888824265495,1
pointgroup,Dinfh,ours,100,1.7989168198916123e-08,1.831794967437587e-08,1
pointgroup,D3h,asun,100,0.7481040260227272,0.8749024396369882,1
pointgroup,D3h,pca_centered,100,0.6507238218631531,1.0310517383871265,1
pointgroup,D3h,pca_svd,100,2.4887627975219284,1.6265357557195341,1
pointgroup,D3h,pca_noop,100,2.7825014459769175,2.809270366473634,1
pointgroup,D3h,ours,100,7.398469020197187e-09,7.561881094810777e-09,1
pointgroup,C3v,asun,100,6.433581857479294e-09,6.136076346334455e-09,1
pointgroup,C3v,pca_centered,100,0.9006215050877437,0.9462851840864822,1
pointgroup,C3v,pca_svd,100,3.5860456708100417,5.402887955974326,1
pointgroup,C3v,pca_noop,100,3.9901776920349006,4.2784275330636286,1
pointgroup,C3v,ours,100,1.0049657355786892e-08,9.934107462565104e-09,1
