slice_kind,slice,method,n_obs,mean_emd,median_emd,n_mol
rank,1,asun,0,,,
rank,1,pca_centered,0,,,
rank,1,pca_svd,0,,,
rank,1,pca_noop,0,,,
rank,1,ours,0,,,
rank,2,asun,0,,,
rank,2,pca_centered,0,,,
rank,2,pca_svd,0,,,
rank,2,pca_noop,0,,,
rank,2,ours,0,,,
rank,3,asun,500000,0.039941548657078156,8.890775311297012e-09,
rank,3,pca_centered,500000,0.885087973171983,0.9965915687843976,
rank,3,pca_svd,500000,2.3480244935494907,1.734314849533448,
rank,3,pca_noop,500000,2.7308939371317296,2.448197988596509,
rank,3,ours,500000,8.804345490377257e-09,8.607879920973709e-09,
pointgroup,C1,asun,420900,0.020662476318979925,8.817284269646033e-09,4209
pointgroup,C1,pca_centered,420900,0.9142858783884593,1.0151684528377567,4209
pointgroup,C1,pca_svd,420900,2.35923921132538,1.7509046862096573,4209
pointgroup,C1,pca_noop,420900,2.716964223838057,2.4418365047578723,4209
pointgroup,C1,ours,420900,8.802627027244034e-09,8.607879920973709e-09,4209
pointgroup,Cs,asun,73700,0.13978753950988176,9.266959751393587e-09,737
pointgroup,Cs,pca_centered,73700,0.7396869371633583,0.871460288731627,737
pointgroup,Cs,pca_svd,73700,2.2936638084170577,1.645716907475127,737
pointgroup,Cs,pca_noop,73700,2.8214242944140464,2.4969524924190587,737
pointgroup,Cs,ours,73700,8.831385036404346e-09,8.598424627042445e-09,737
pointgroup,C2,asun,2600,0.2071188404836861,6.854876593559165e-05,26
pointgroup,C2,pca_centered,2600,0.659479381139113,0.8379794206589066,26
pointgroup,C2,pca_svd,2600,2.2387571777030586,1.6677009579688975,26
pointgroup,C2,pca_noop,2600,2.5376781585407095,2.2911319173725353,26
pointgroup,C2,ours,2600,8.932005731112497e-09,8.750928836157236e-09,26
pointgroup,C2v,asun,2100,0.09298452625255547,0.00014560387574203402,21
pointgroup,C2v,pca_centered,2100,0.5696223827213522,0.51028422812356,21
pointgroup,C2v,pca_svd,2100,2.31417981512002,1.5919015912983436,21
pointgroup,C2v,pca_noop,2100,2.728644399163044,2.4485977222518516,21
pointgroup,C2v,ours,2100,8.5411607757294e-09,8.479291107190388e-09,21
pointgroup,C2h,asun,300,0.5109210843805062,0.003764406621596713,3
pointgroup,C2h,pca_centered,300,0.4003581680788707,0.5593248250095766,3
pointgroup,C2h,pca_svd,300,2.0936520241989554,1.7287147484804213,3
pointgroup,C2h,pca_noop,300,2.5366816195252904,2.4470487501421765,3
pointgroup,C2h,ours,300,8.054947798360295e-09,7.846039908434032e-09,3
pointgroup,C3v,asun,200,0.2489031415500604,1.613561380616753e-08,2
pointgroup,C3v,pca_centered,200,0.5039567009301656,0.6213887840043426,2
pointgroup,C3v,pca_svd,200,1.6371791798419053,1.1693538833337398,2
pointgroup,C3v,pca_noop,200,2.2397283259069227,2.279736538644628,2
pointgroup,C3v,ours,200,7.425014574173239e-09,7.109695920837304e-09,2
pointgroup,Dinfh,asun,100,0.001001462438163608,0.0010704414276548964,1
pointgroup,Dinfh,pca_centered,100,0.00042300446293630826,5.902833896914197e-05,1
pointgroup,Dinfh,pca_svd,100,1.523163065663889,1.5339074709731002,1
pointgroup,Dinfh,pca_noop,100,1.9698353943615337,1.988957319165905,1
pointgroup,Dinfh,ours,100,3.64827005288015e-09,1.862645149230957e-09,1
pointgroup,D3h,asun,100,0.34662793746209586,0.007476385973548893,1
pointgroup,D3h,pca_centered,100,0.7433861761686338,0.9300796132555456,1
pointgroup,D3h,pca_svd,100,1.7704602398152716,1.3869979632386662,1
pointgroup,D3h,pca_noop,100,2.037061131878079,2.080077445666748,1
pointgroup,D3h,ours,100,8.479854490587496e-09,7.960874285112237e-09,1
