dataset   pg    method       sigma  n_mol  crash_rate    mean_EMD  mean_theta_deg  flip_rate
qm-sym    C4h   ours        0.0100      2       0.000   3.980e+00       4.281e+01      1.000
qm-sym    C4h   ours        0.1000      2       0.000   3.981e+00       4.241e+01      1.000
qm-sym    C4h   ours_wwv    0.0000      2       0.000   1.823e-13       4.525e-07      0.000
qm-sym    C4h   ours_wwv    0.0010      2       0.000   2.323e+00       3.393e+01      0.967
qm-sym    C4h   ours_wwv    0.0100      2       0.000   2.309e+00       3.324e+01      0.967
qm-sym    C4h   ours_wwv    0.1000      2       0.000   2.648e+00       3.226e+01      1.000

synthetic Oh    asun        0.0000      2       0.500   3.795e-16       8.049e-08      0.000
synthetic Oh    asun        0.0010      2       0.500   1.820e-03       7.062e-02      0.000
synthetic Oh    asun        0.0100      2       0.500   2.673e-01       1.432e+00      0.067
synthetic Oh    asun        0.1000      2       0.500   4.325e-01       5.801e+00      0.600
synthetic Oh    pca         0.0000      2       0.000   5.773e-01       3.457e+01      1.000
synthetic Oh    pca         0.0010      2       0.000   5.560e-01       3.598e+01      1.000
synthetic Oh    pca         0.0100      2       0.000   5.588e-01       3.614e+01      1.000
synthetic Oh    pca         0.1000      2       0.000   5.858e-01       3.339e+01      1.000
synthetic Oh    ours        0.0000      2       0.000   2.207e-16       2.346e-07      0.000
synthetic Oh    ours        0.0010      2       0.000   5.798e-01       3.309e+01      1.000
synthetic Oh    ours        0.0100      2       0.000   5.811e-01       3.313e+01      1.000
synthetic Oh    ours        0.1000      2       0.000   6.195e-01       3.598e+01      1.000
synthetic Oh    ours_wwv    0.0000      2       0.000   2.207e-16       2.346e-07      0.000
synthetic Oh    ours_wwv    0.0010      2       0.000   3.180e-01       2.071e+01      0.867
synthetic Oh    ours_wwv    0.0100      2       0.000   3.242e-01       2.083e+01      0.900
synthetic Oh    ours_wwv    0.1000      2       0.000   4.230e-01       2.198e+01      0.933

synthetic D6h   asun        0.0000      4       0.250   1.497e-01       2.447e+01      0.489
synthetic D6h   asun        0.0010      4       0.250   1.969e-01       3.653e+01      0.622
synthetic D6h   asun        0.0100      4       0.250   3.279e-01       4.865e+01      0.778
synthetic D6h   asun        0.1000      4       0.250   3.742e-01       3.808e+01      0.844
synthetic D6h   pca         0.0000      4       0.000   2.518e-01       9.969e+00      0.667
synthetic D6h   pca         0.0010      4       0.000   3.732e-01       1.467e+01      0.783
synthetic D6h   pca         0.0100      4       0.000   3.741e-01       1.464e+01      0.783
synthetic D6h   pca         0.1000      4       0.000   4.084e-01       1.446e+01      0.800
synthetic D6h   ours        0.0000      4       0.000   6.752e-16       3.386e-07      0.000
synthetic D6h   ours        0.0010      4       0.000   1.156e+00       5.503e+01      0.967
synthetic D6h   ours        0.0100      4       0.000   1.155e+00       5.465e+01      0.967
synthetic D6h   ours        0.1000      4       0.000   1.165e+00       5.173e+01      0.967
synthetic D6h   ours_wwv    0.0000      4       0.000   3.169e-16       2.550e+01      0.283
synthetic D6h   ours_wwv    0.0010      4       0.000   6.105e-01       4.269e+01      0.950
synthetic D6h   ours_wwv    0.0100      4       0.000   6.126e-01       4.259e+01      0.950
synthetic D6h   ours_wwv    0.1000      4       0.000   6.543e-01       4.037e+01      0.950
