slice_kind,slice,method,n_obs,mean_emd,median_emd,n_mol
rank,1,asun,0,,,
rank,1,pca_centered,0,,,
rank,1,pca_svd,0,,,
rank,1,pca_noop,0,,,
rank,1,ours,0,,,
rank,2,asun,0,,,
rank,2,pca_centered,0,,,
rank,2,pca_svd,0,,,
rank,2,pca_noop,0,,,
rank,2,ours,0,,,
rank,3,asun,500000,0.03890128217400639,8.864516791218295e-09,
rank,3,pca_centered,500000,0.8908784347520395,1.0040094487534812,
rank,3,pca_svd,500000,2.3169049394856076,1.7247819130912994,
rank,3,pca_noop,500000,2.696791386354872,2.421675460108978,
rank,3,ours,500000,8.810172678572337e-09,8.599812040222068e-09,
pointgroup,C1,asun,426800,0.019756115762338506,8.773208395837977e-09,4268
pointgroup,C1,pca_centered,426800,0.9159639177480666,1.0190889620546928,4268
pointgroup,C1,pca_svd,426800,2.3165694646200246,1.7381788997879875,4268
pointgroup,C1,pca_noop,426800,2.6710288935296442,2.4139108434365584,4268
pointgroup,C1,ours,426800,8.8004773507708e-09,8.599812040222068e-09,4268
pointgroup,Cs,asun,69000,0.14610802904179368,9.448070580133205e-09,690
pointgroup,Cs,pca_centered,69000,0.7514657828117204,0.8912937547780675,690
pointgroup,Cs,pca_svd,69000,2.3078244734948616,1.6415188027274836,690
pointgroup,Cs,pca_noop,69000,2.8376008384483034,2.4646651151433536,690
pointgroup,Cs,ours,69000,8.822815472723378e-09,8.56107860377535e-09,690
pointgroup,C2,asun,2000,0.2027403102746546,0.00013772409959026636,20
pointgroup,C2,pca_centered,2000,0.6961021383307359,0.8811574739296557,20
pointgroup,C2,pca_svd,2000,2.3104643750892415,1.7202258504881653,20
pointgroup,C2,pca_noop,2000,2.6714753794709742,2.3453931400020807,20
pointgroup,C2,ours,2000,9.451877513721313e-09,9.282024868022547e-09,20
pointgroup,C2v,asun,1700,0.11524895140711024,1.682004585831903e-08,17
pointgroup,C2v,pca_centered,1700,0.4974938816803663,0.0017710468253720132,17
pointgroup,C2v,pca_svd,1700,2.7035770405913278,1.917748194070233,17
pointgroup,C2v,pca_noop,1700,3.3717075660065494,2.938824753129176,17
pointgroup,C2v,ours,1700,9.754011511334273e-09,9.390687792301696e-09,17
pointgroup,C3,asun,200,0.9583363225916812,0.9689082992181344,2
pointgroup,C3,pca_centered,200,0.8449000114468503,0.8836889926149127,2
pointgroup,C3,pca_svd,200,2.6726478284069275,1.533970598549032,2
pointgroup,C3,pca_noop,200,3.1053687933685716,2.4356976002130475,2
pointgroup,C3,ours,200,7.502235604148981e-09,7.23752767436975e-09,2
pointgroup,D2d,asun,100,0.11758964786080302,0.00041521991159773196,1
pointgroup,D2d,pca_centered,100,0.5200906880820722,0.1927059073370439,1
pointgroup,D2d,pca_svd,100,1.331117643513625,1.3600302698949265,1
pointgroup,D2d,pca_noop,100,1.4149807341647378,1.4156117931411643,1
pointgroup,D2d,ours,100,9.638785900885266e-09,9.593222786478578e-09,1
pointgroup,C2h,asun,100,1.3244680740461134,1.1713047675609145,1
pointgroup,C2h,pca_centered,100,0.5164711151904574,0.00013402309058915736,1
pointgroup,C2h,pca_svd,100,2.0631320359342022,1.4445449938732358,1
pointgroup,C2h,pca_noop,100,2.6525574946218753,2.7508906241453195,1
pointgroup,C2h,ours,100,9.759784498405912e-09,9.652190870306389e-09,1
pointgroup,C3v,asun,100,1.1029334304125391e-08,1.0824549876100333e-08,1
pointgroup,C3v,pca_centered,100,1.44098209001329,2.4080771414460553,1
pointgroup,C3v,pca_svd,100,4.097693190221521,6.437932663039854,1
pointgroup,C3v,pca_noop,100,5.034223633455342,5.596632325971205,1
pointgroup,C3v,ours,100,1.3424596018079837e-08,1.3177641666975385e-08,1
